P0:0.0F,P1:-0.0F
P0:0.01F,P1:-0.01F
P0:0.02F,P1:-0.02F
P0:0.03F,P1:-0.03F
P0:0.04F,P1:-0.04F
P0:-0.05F,P1:0.05F
P0:-0.06F,P1:0.06F
P0:-0.07F,P1:0.07F
P0:-0.08F,P1:0.08F
P0:-0.09F,P1:0.09F
P0:0.1F,P1:-0.1F
P0:0.11F,P1:-0.11F
P0:0.12F,P1:-0.12F
P0:0.13F,P1:-0.13F
P0:0.14F,P1:-0.14F
P0:-0.15F,P1:0.15F
P0:-0.16F,P1:0.16F
P0:-0.17F,P1:0.17F
P0:-0.18F,P1:0.18F
P0:-0.19F,P1:0.19F
P0:0.2F,P1:-0.2F
P0:0.21F,P1:-0.21F
P0:0.22F,P1:-0.22F
P0:0.23F,P1:-0.23F
P0:0.24F,P1:-0.24F
P0:-0.25F,P1:0.25F
P0:-0.26F,P1:0.26F
P0:-0.27F,P1:0.27F
P0:-0.28F,P1:0.28F
P0:-0.29F,P1:0.29F
P0:0.3F,P1:-0.3F
P0:0.31F,P1:-0.31F
P0:0.32F,P1:-0.32F
P0:0.33F,P1:-0.33F
P0:0.34F,P1:-0.34F
P0:-0.35F,P1:0.35F
P0:-0.36F,P1:0.36F
P0:-0.37F,P1:0.37F
P0:-0.38F,P1:0.38F
P0:-0.39F,P1:0.39F
P0:0.4F,P1:-0.4F
P0:0.41F,P1:-0.41F
P0:0.42F,P1:-0.42F
P0:0.43F,P1:-0.43F
P0:0.44F,P1:-0.44F
P0:-0.45F,P1:0.45F
P0:-0.46F,P1:0.46F
P0:-0.47F,P1:0.47F
P0:-0.48F,P1:0.48F
P0:-0.49F,P1:0.49F
P0:0.5F,P1:-0.5F
P0:0.51F,P1:-0.51F
P0:0.52F,P1:-0.52F
P0:0.53F,P1:-0.53F
P0:0.54F,P1:-0.54F
P0:-0.55F,P1:0.55F
P0:-0.56F,P1:0.56F
P0:-0.57F,P1:0.57F
P0:-0.58F,P1:0.58F
P0:-0.59F,P1:0.59F
P0:0.6F,P1:-0.6F
P0:0.61F,P1:-0.61F
P0:0.62F,P1:-0.62F
P0:0.63F,P1:-0.63F
P0:0.64F,P1:-0.64F
P0:-0.65F,P1:0.65F
P0:-0.66F,P1:0.66F
P0:-0.67F,P1:0.67F
P0:-0.68F,P1:0.68F
P0:-0.69F,P1:0.69F
P0:0.7F,P1:-0.7F
P0:0.71F,P1:-0.71F
P0:0.72F,P1:-0.72F
P0:0.73F,P1:-0.73F
P0:0.74F,P1:-0.74F
P0:-0.75F,P1:0.75F
P0:-0.76F,P1:0.76F
P0:-0.77F,P1:0.77F
P0:-0.78F,P1:0.78F
P0:-0.79F,P1:0.79F
P0:0.8F,P1:-0.8F
P0:0.81F,P1:-0.81F
P0:0.82F,P1:-0.82F
P0:0.83F,P1:-0.83F
P0:0.84F,P1:-0.84F
P0:-0.85F,P1:0.85F
P0:-0.86F,P1:0.86F
P0:-0.87F,P1:0.87F
P0:-0.88F,P1:0.88F
P0:-0.89F,P1:0.89F
P0:0.9F,P1:-0.9F
P0:0.91F,P1:-0.91F
P0:0.92F,P1:-0.92F
P0:0.93F,P1:-0.93F
P0:0.94F,P1:-0.94F
P0:-0.95F,P1:0.95F
P0:-0.96F,P1:0.96F
P0:-0.97F,P1:0.97F
P0:-0.98F,P1:0.98F
P0:-0.99F,P1:0.99F
